nom,prenom,age,totalbut,poste,equipe
Passi,Bryan ,5 août 1997(21),Journée,Défenseur central                            ,HSC Montpellier
Congré,Daniel ,5 avr. 1985(33),10,Défenseur central                            ,HSC Montpellier
Mendes,Pedro ,1 oct. 1990(28),10,Défenseur central                            ,HSC Montpellier
Bertaud,Dimitry ,6 juin 1998(20),-,Gardien de but                            ,HSC Montpellier
Cozzella,Vincenzo ,21 déc. 2001(16),1,Gardien de but                            ,HSC Montpellier
Ligali,Jonathan ,28 mai 1991(27),-,Gardien de but                            ,HSC Montpellier
Lecomte,Benjamin ,26 avr. 1991(27),10,Gardien de but                            ,HSC Montpellier
Osei Yaw,Derick ,10 sept. 1998(20),Journée,-,Toulouse
Gueye,Makhtar ,4 déc. 1997(20),1,,Saint-Étienne
Diony,Loïs ,20 déc. 1992(25),10,Avant centre                            ,Saint-Étienne
Beric,Robert ,17 juin 1991(27),4,Avant centre                            ,Saint-Étienne
Hamouma,Romain ,29 mars 1987(31),6,Ailier droit                            ,Saint-Étienne
Salibur,Yannis ,24 janv. 1991(27),8,Ailier droit                            ,Saint-Étienne
Nordin,Arnaud ,17 juin 1998(20),7,Ailier gauche                            ,Saint-Étienne
Monnet-Paquet,Kévin ,19 août 1988(30),8,Ailier gauche                            ,Saint-Étienne
Cabella,Rémy ,8 mars 1990(28),8,Milieu offensif                            ,Saint-Étienne
Khazri,Wahbi ,8 févr. 1991(27),9,Milieu offensif                            ,Saint-Étienne
Camara,Mahdi ,30 juin 1998(20),1,Milieu central                            ,Saint-Étienne
Selnaes,Ole ,7 juil. 1994(24),9,Milieu défensif                            ,Saint-Étienne
Dioussé,Assane ,20 sept. 1997(21),4,Milieu défensif                            ,Saint-Étienne
M'Vila,Yann ,29 juin 1990(28),10,Milieu défensif                            ,Saint-Étienne
Panos,Mickaël ,10 févr. 1997(21),1,Arrière droit                            ,Saint-Étienne
Debuchy,Mathieu ,28 juil. 1985(33),5,Arrière droit                            ,Saint-Étienne
Polomat,Pierre-Yves ,27 déc. 1993(24),Journée,Arrière gauche                            ,Saint-Étienne
M'Bengue,Cheikh ,23 juil. 1988(30),Journée,Arrière gauche                            ,Saint-Étienne
Gabriel Silva,,13 mai 1991(27),8,Arrière gauche                            ,Saint-Étienne
Saliba,William ,24 mars 2001(17),3,Défenseur central                            ,Saint-Étienne
Perrin,Loïc ,7 août 1985(33),9,Défenseur central                            ,Saint-Étienne
Kolodziejczak,Timothée ,1 oct. 1991(27),10,Défenseur central                            ,Saint-Étienne
Subotic,Neven ,10 déc. 1988(29),9,Défenseur central                            ,Saint-Étienne
Moulin,Jessy ,13 janv. 1986(32),-,Gardien de but                            ,Saint-Étienne
Ruffier,Stéphane ,27 sept. 1986(32),10,Gardien de but                            ,Saint-Étienne
Sanogo,Yaya ,27 janv. 1993(25),4,Avant centre                            ,Toulouse
Leya Iseka,Aaron ,15 nov. 1997(20),8,Avant centre                            ,Toulouse
Mubele,Firmin ,17 avr. 1994(24),5,Avant centre                            ,Toulouse
Jean,Corentin ,15 juil. 1995(23),6,Ailier droit                            ,Toulouse
Dossevi,Mathieu ,12 févr. 1988(30),11,Ailier droit                            ,Toulouse
Taoui,Adil ,10 août 2001(17),Journée,Ailier gauche                            ,Toulouse
Durmaz,Jimmy ,22 mars 1989(29),9,Ailier gauche                            ,Toulouse
Gradel,Max ,30 nov. 1987(30),10,Ailier gauche                            ,Toulouse
El Mokeddem,Hakim ,15 févr. 1999(19),2,Milieu offensif                            ,Toulouse
García,Manu ,2 janv. 1998(20),10,Milieu offensif                            ,Toulouse
Bostock,John ,15 janv. 1992(26),7,Milieu central                            ,Toulouse
Cahuzac,Yannick ,18 janv. 1985(33),3,Milieu défensif                            ,Toulouse
Mbia,Stéphane ,20 mai 1986(32),1,Milieu défensif                            ,Toulouse
Bodiger,Yann ,9 févr. 1995(23),1,Milieu défensif                            ,Toulouse
Sangaré,Ibrahim ,2 déc. 1997(20),9,,Toulouse
Moreira,Steven ,13 août 1994(24),2,Arrière droit                            ,Toulouse
Amian,Kelvin ,8 févr. 1998(20),8,Arrière droit                            ,Toulouse
Goncalves,Mathieu ,8 juin 2001(17),Journée,Arrière gauche                            ,Toulouse
Moubandje,François ,21 juin 1990(28),9,Arrière gauche                            ,Toulouse
Sylla,Issiaga ,1 janv. 1994(24),2,Arrière gauche                            ,Toulouse
Fortes,Steven ,17 avr. 1992(26),3,Défenseur central                            ,Toulouse
Yago,Steeve ,16 déc. 1992(25),Journée,Défenseur central                            ,Toulouse
Todibo,Jean-Clair ,30 déc. 1999(18),8,Défenseur central                            ,Toulouse
Jullien,Christopher ,22 mars 1993(25),10,Défenseur central                            ,Toulouse
Vidal,Marc ,3 juin 1991(27),Journée,Gardien de but                            ,Toulouse
Goicoechea,Mauro ,27 mars 1988(30),-,Gardien de but                            ,Toulouse
Reynet,Baptiste ,28 oct. 1990(27),10,Gardien de but                            ,Toulouse
Kolo Muani,Randal ,5 déc. 1998(19),Journée,Avant centre                            ,FC Nantes
Mendy,Alexandre ,20 mars 1994(24),Journée,Avant centre                            ,G. Bordeaux
Briand,Jimmy ,2 août 1985(33),13,Avant centre                            ,G. Bordeaux
Cornelius,Andreas ,16 mars 1993(25),11,Avant centre                            ,G. Bordeaux
de Préville,Nicolas ,8 janv. 1991(27),12,Avant centre                            ,G. Bordeaux
Youssouf,Zaydou ,11 juil. 1999(19),10,Ailier droit                            ,G. Bordeaux
Kalu,Samuel ,26 août 1997(21),13,Ailier droit                            ,G. Bordeaux
Karamoh,Yann ,8 juil. 1998(20),9,Ailier droit                            ,G. Bordeaux
Kamano,François ,1 mai 1996(22),18,Ailier gauche                            ,G. Bordeaux
Plasil,Jaroslav ,5 janv. 1982(36),13,Milieu central                            ,G. Bordeaux
Vada,Valentín ,6 mars 1996(22),4,Milieu central                            ,G. Bordeaux
Tchouaméni,Aurélien ,27 janv. 2000(18),13,Milieu central                            ,G. Bordeaux
Sankharé,Younousse ,10 sept. 1989(29),17,Milieu central                            ,G. Bordeaux
Lerager,Lukas ,12 juil. 1993(25),16,Milieu central                            ,G. Bordeaux
Basic,Toma ,25 nov. 1996(21),6,Milieu défensif                            ,G. Bordeaux
Otávio,,4 mai 1994(24),11,Milieu défensif                            ,G. Bordeaux
